true_id,true_name,confused_with_id,confused_with_name,same_genus,epochs
1438354,Smilax_glauca,1413835,Smilax_tamnoides,False,"[(20, 0.5), (30, 0.5)]"
1438616,Stanleya_pinnata,1357379,Carthamus_lanatus,False,"[(20, 0.5), (30, 0.5), (50, 0.5), (60, 0.5), (80, 0.5), (90, 0.5), (100, 0.5), (110, 0.5)]"
1438868,Tagetes_lemmonii,1522375,Tagetes_lemmonii,True,"[(20, 1.0), (30, 1.0), (90, 1.0)]"
1391961,Epipactis_microphylla,1362294,Epipactis_helleborine,False,"[(20, 0.5), (30, 0.5), (40, 0.5), (60, 0.5), (70, 0.5), (100, 0.5), (110, 0.5)]"
1391962,Epipactis_muelleri,1358704,Hypericum_montanum,False,"[(20, 0.3333333333333333)]"
1391967,Epipactis_purpurata,1398178,Tradescantia_zebrina,False,"[(20, 0.3333333333333333)]"
1392093,Erucastrum_gallicum,1392096,Erucastrum_nasturtiifolium,False,"[(20, 0.4), (40, 0.4), (50, 0.4), (70, 0.4), (80, 0.6), (90, 0.4)]"
1392254,Fedia_graciliflora,1360838,Fedia_cornucopiae,False,"[(20, 0.3333333333333333), (30, 0.6666666666666666), (40, 0.6666666666666666), (50, 0.3333333333333333), (60, 0.6666666666666666), (70, 0.6666666666666666), (80, 0.6666666666666666), (90, 0.6666666666666666), (100, 0.6666666666666666), (110, 0.6666666666666666)]"
1392361,Fragaria_moschata,1363991,Fragaria_vesca,False,"[(20, 0.5555555555555556)]"
1392653,Gomphocarpus_fruticosus,1392654,Gomphocarpus_physocarpus,False,"[(20, 0.2222222222222222), (40, 0.2222222222222222), (50, 0.3333333333333333), (60, 0.4444444444444444), (80, 0.2222222222222222), (90, 0.2222222222222222), (100, 0.2222222222222222)]"
1392689,Hebe_andersonii,1392695,Hebe_salicifolia,False,"[(20, 0.2307692307692307), (30, 0.2307692307692307), (70, 0.2307692307692307), (80, 0.2307692307692307), (100, 0.4615384615384615), (110, 0.6923076923076923)]"
1392730,Helicodiceros_muscivorus,1409239,Anthurium_scherzerianum,False,"[(20, 1.0)]"
1393241,Hypericum_calycinum,1358699,Hypericum_hircinum,False,"[(20, 0.2704918032786885), (30, 0.3729508196721312)]"
1393242,Hypericum_coris,1358703,Hypericum_linariifolium,False,"[(20, 1.0)]"
1393245,Hypericum_elodes,1359489,Trifolium_cherleri,False,"[(20, 0.25)]"
1393248,Hypericum_x_inodorum,1358699,Hypericum_hircinum,False,"[(20, 1.0), (70, 1.0), (100, 1.0)]"
1419112,Pelargonium_crispum,1355955,Pelargonium_odoratissimum,False,"[(20, 0.5)]"
1419115,Pelargonium_x_hortorum,1421001,Pelargonium_spp.,False,"[(20, 0.2307692307692307)]"
1419197,Hypericum_frondosum,1393241,Hypericum_calycinum,False,"[(20, 1.0), (30, 1.0), (90, 1.0)]"
1419352,Limnanthes_douglasii,1393537,Limnanthes_douglasii,True,"[(20, 0.6666666666666666), (30, 0.6666666666666666), (40, 0.6666666666666666), (50, 0.3333333333333333), (60, 0.3333333333333333), (70, 0.6666666666666666), (90, 0.3333333333333333), (100, 0.3333333333333333), (110, 0.3333333333333333)]"
1419598,Nothofagus_pumilio,1608027,Nothofagus_dombeyi,False,"[(20, 0.25)]"
1419713,Dendrobium_aphyllum,1617292,Dendrobium_anosmum,False,"[(20, 1.0), (90, 1.0)]"
1419807,Vanilla_planifolia,1398178,Tradescantia_zebrina,False,"[(20, 0.4)]"
1419874,Lapageria_rosea,1413835,Smilax_tamnoides,False,"[(20, 0.5)]"
1419923,Peperomia_argyreia,1409214,Peperomia_argyreia,True,"[(20, 0.7), (30, 0.5), (80, 0.35)]"
1419942,Hebe_franciscana,1646149,Hebe_andersonii,False,"[(20, 0.3333333333333333), (30, 0.3333333333333333), (70, 0.3333333333333333)]"
1420288,Anemone_patens,1394489,Anemone_pulsatilla,False,"[(20, 0.3333333333333333), (40, 0.6666666666666666), (50, 0.6666666666666666), (70, 1.0), (80, 0.6666666666666666), (90, 1.0), (100, 1.0), (110, 1.0)]"
1420364,Fragaria_virginiana,1397387,Fragaria_viridis,False,"[(20, 1.0), (50, 1.0), (80, 1.0), (90, 1.0), (100, 1.0)]"
1420365,Fragaria_x_ananassa,1408979,Fragaria_chiloensis,False,"[(20, 0.25), (40, 0.5)]"
1398515,Hypericum_x_hidcoteense,1398513,Hypericum_patulum,False,"[(20, 0.6476190476190476), (30, 0.5428571428571428), (50, 0.4), (70, 0.3333333333333333), (100, 0.238095238095238)]"
1398592,Perovskia_atriplicifolia,1389630,Perovskia_abrotanoides,False,"[(20, 0.715), (30, 0.62), (50, 0.63), (60, 0.57), (70, 0.56), (80, 0.675), (90, 0.425), (110, 0.25)]"
1398615,Iva_annua,1358704,Hypericum_montanum,False,"[(20, 0.5)]"
